NDVI1995,NDVI2000,NDVI2005,NDVI2011,NDVI2016,NDVI2020,NDVI2023,LULC1995,LULC2000,LULC2005,LULC2011,LULC2016,LULC2020,LULC2023,TMAX1990,TMAX1995,TMAX2000,TMAX2005,TMAX2011,TMAX2016,TMAX2020,TMAX2021,TMIN1990,TMIN1995,TMIN2000,TMIN2005,TMIN2011,TMIN2016,TMIN2020,TMIN2021,Prec1995,Prec2000,Prec2005,Prec2011,Prec2016,Prec2020,Prec2023,BSI1995,BSI2000,BSI2005,BSI2011,BSI2016,BSI2020,BSI2021,SMI2016,SMI2020,SMI2021
2.745232569,2.514052064,2.391766059,2.082066997,2.024786714,1.701635626,2.515659303,2,1,2,1,2,1,1,-0.808938254,-0.779569475,-0.790539356,-0.757088584,-0.810067572,-0.860939502,-0.735088441,-0.848494816,-0.885410483,-0.895231642,-0.841647653,-0.848858022,-0.837782239,-0.909283393,-0.839043993,-0.91026676,2.923889221,3.040647288,2.514686166,2.549340462,2.828335956,3.051398651,3.975919934,-0.238492,-0.081764,-0.168246,-0.219178,-0.218458,-0.285796,-0.288174,22.84415,21.67941,10.45274
1.752373162,2.3488396,1.896680977,2.254475982,1.908332755,1.721213351,2.279928701,1,1,1,1,1,1,1,-0.687521333,-0.657226878,-0.661335881,-0.63006297,-0.683026924,-0.74609297,-0.608905345,-0.72232999,-0.787865588,-0.802716253,-0.746768617,-0.759822716,-0.743096952,-0.823792454,-0.745595792,-0.816436826,2.459326068,2.633239818,2.206582173,2.175363833,2.25957865,2.478378767,3.003812022,-0.108376,-0.045419,-0.051605,-0.241244,-0.154249,-0.239886,-0.276667,22.84415,21.67941,10.45274
2.514482923,1.19062651,1.871812834,2.004129708,1.447209334,1.29903809,1.636940858,2,1,2,1,1,2,2,-0.576945288,-0.543623206,-0.547461796,-0.516408473,-0.569128422,-0.639914267,-0.496487687,-0.613272334,-0.670138977,-0.684969173,-0.622563244,-0.645588497,-0.620866697,-0.703099364,-0.621597124,-0.697473893,2.57673322,2.73900917,2.403601118,2.151626904,2.510821949,2.557827811,3.177315321,-0.259843,0.010912,-0.176339,-0.258378,-0.07486,-0.271852,-0.221333,22.84415,21.67941,10.45274
0.527327717,0.956617987,1.631832621,1.315381173,1.616054083,1.556423534,1.75988449,3,3,2,3,2,1,2,-1.509253035,-1.496146948,-1.489113519,-1.479128918,-1.515362863,-1.539183517,-1.423360374,-1.519947926,-1.669133934,-1.679089808,-1.657608025,-1.641777557,-1.650354678,-1.692112252,-1.644136727,-1.686038623,2.583499809,2.810865305,2.560851767,2.448972295,2.697355852,2.565648173,3.140508322,-0.024888,0.013617,-0.109799,-0.249351,-0.175519,-0.187113,-0.209001,24.17198,22.41213,4.888096
1.832726167,2.845482602,1.521140987,1.510003975,1.889076265,1.759778919,1.692088313,2,2,1,2,1,2,2,-1.569961625,-1.555133515,-1.55700022,-1.541527377,-1.574502516,-1.606357766,-1.494481991,-1.581960932,-1.702769994,-1.71273186,-1.69210938,-1.675375703,-1.686507268,-1.725638178,-1.685469688,-1.719549357,2.583499809,2.810865305,2.560851767,2.448972295,2.697355852,2.565648173,3.140508322,0.035839,-0.062613,-0.032763,-0.305754,-0.235865,-0.219554,-0.307504,24.17198,22.41213,4.888096
1.792918555,2.265115645,1.195419259,1.751327318,1.762304864,1.419257228,2.01777011,2,2,4,2,2,1,2,-1.606820134,-1.596642494,-1.589848539,-1.57495517,-1.613928951,-1.645362219,-1.535778307,-1.61831357,-1.726315397,-1.736281316,-1.714535488,-1.698894565,-1.705444408,-1.752458797,-1.708831684,-1.739655757,2.475481314,2.608737012,2.488803592,2.043787691,2.583895304,2.456318957,2.713337668,0.068446,0.067225,-0.013492,-0.15526,-0.128833,-0.133598,-0.299827,24.17198,22.41213,4.888096
1.679456744,2.870860704,1.760881126,1.788025916,1.928375224,1.5790729,1.002772475,1,2,1,2,2,1,1,-1.67836934,-1.668737188,-1.664304641,-1.650725013,-1.681829946,-1.71903747,-1.609193796,-1.688880289,-1.756587971,-1.766559102,-1.742136613,-1.729133017,-1.736432343,-1.784308296,-1.741179163,-1.771490823,1.994578858,2.322715165,2.297542825,1.890308743,2.563681238,2.343560316,2.565122042,-0.03976,-0.000869,0.020063,-0.348052,-0.092548,-0.153901,-0.113649,23.46437,23.19656,8.275005
1.702850326,3.026234481,1.825736212,1.332299169,2.059463645,1.383306274,1.931611709,1,1,1,1,2,1,1,-1.706555564,-1.699322903,-1.69715296,-1.684152806,-1.712495038,-1.751541181,-1.643607393,-1.716679214,-1.7616334,-1.769923165,-1.745586831,-1.734172759,-1.741596998,-1.791013601,-1.748367636,-1.774841957,2.036895623,2.226787637,2.360429784,1.972149406,2.167447291,1.954799708,1.94617917,0.014005,0.067015,-0.012245,-0.186855,-0.141198,-0.208252,-0.131653,23.46437,23.19656,8.275005
2.776983334,3.645167999,2.428187026,2.086131896,2.700769858,2.012726958,2.7470987,2,2,2,2,2,1,2,-1.75859135,-1.745201344,-1.738760744,-1.733180147,-1.760682816,-1.803547119,-1.705551867,-1.774415621,-1.768360572,-1.776651697,-1.761112503,-1.74593209,-1.753647793,-1.801071359,-1.766338385,-1.791597223,1.927404898,2.172804059,2.32401985,1.762006517,2.054950527,2.043952868,1.944774211,0.111057,-0.000842,0.037872,-0.10118,-0.073272,-0.112111,-0.039743,22.84415,21.67941,10.45274
3.408107317,3.813594343,3.161636213,1.647466276,2.748257077,2.205198744,2.931894036,2,2,2,2,2,2,2,-1.801954332,-1.799818449,-1.791318054,-1.782207488,-1.811061126,-1.857719884,-1.758319473,-1.821460272,-1.77845143,-1.785062058,-1.773187957,-1.757691622,-1.762255622,-1.812805342,-1.782512125,-1.806677023,1.949602303,2.02135023,2.122045454,1.614959061,2.006038578,2.049710604,1.852079579,0.134769,0.093084,0.036226,-0.060891,-0.060417,-0.084711,-0.067923,24.17198,22.41213,4.888096
